Nombre de Taller,Fecha,Sala,Horario,Docente,Seccion
"Entrenamiento en Lesiones Oseomusculares, vendajes y traslado.",,SB-014,,,
"Entrenamiento en Intoxicaciones, Cuerpos extraños y alteraciones d conciencia",,SB-014,,,
Organización de un Banco de Sangre,,Banco de Sangre,,,
Organización de un Banco de Sangre,,Banco de Sangre,,,
Atención integral al Donante Entrevista,,Banco de Sangre,,,
Atención integral al Donante Examen Físico,,,,,
Evaluación Entrevista y Examen físico del Donante,,,,,
Flebotomía,,Banco de Sangre,,,
Flebotomía,,Banco de Sangre,,,
Flebotomía reacciones adversas a la donación,,Banco de Sangre,,,
Evaluación Flebotomía,,Banco de Sangre,,,
Fraccionamiento,,Banco de Sangre,,,
Fraccionamiento,,Banco de Sangre,,,
Fraccionamiento medicina transfusional,,Banco de Sangre,,,
Evaluación fraccionamiento medicina transfusional,,Banco de Sangre,,,
“Resinas Compuestas”.,,Odontología,,,
“Amalgama y Restauraciones”.,,Odontología,,,
Cemento ionómero y fosfato de zinc,,Odontología,,,
"Cemento de hidróxido de calcio, óxido de zinc eugenol y cemento de resina.",,Odontología,,,
“Precauciones estándar y reconocimiento del área clínica”,,Odontología,,,
"“Desinfección, esterilización y manejo de desechos”",,Odontología,,,
“Evaluación: Desempeño básico en la clínica dental”,,Odontología,,,
“Atención Odontológica simplificada”,,Odontología,,,
“Trabajo clínico a 4 y 6 manos”,,Odontología,,,
“Evaluación: Desempeño ergonómico en la clínica dental ”,,Odontología,,,
Terapias pulpares en odontopediatría,,Odontología,,,
Sellantes,,Odontología,,,
Instrumental de operatoria y materiales de restauración en odontopediatría,,Odontología,,,
Confección de modelos de estudio y montaje en Oclusor.,,Odontología,,,
Fotografía clínica,,Odontología,,,
Ortodoncia Preventiva e Interceptiva,,Odontología,,,
Ortodoncia correctiva: Instrumental y materiales,,Odontología,,,
Instrumental de diagnóstico periodontal,,Odontología,,,
Instrumental de control de placa bacteriana,,Odontología,,,
Destartraje supra y subgingival,,Odontología,,,
Instrumental de tratamiento periodontal no quirúrgico y pulido radicular.,,Odontología,,,
INSTRUMENTAL DE TRATAMIENTO PERIODONTAL QUIRÚRGICO,,Odontología,,,
“CLASIFICACIÓN DE PRÓTESIS EN REHABILITACIÓN ORAL”.,,Odontología,,,
CLASIFICACIÓN DE PRÓTESIS EN REHABILITACIÓN ORAL,,Odontología,,,
PROCEDIMIENTOS CLÍNICOS EN LA CONFECCIÓN DE LAS PRÓTESIS REMOVIBLES,,Odontología,,,
SECUENCIA CLÍNICA DE LAS PROTESIS FIJA Y PLURAL,,Odontología,,,
Procedimientos de provisionalización y cementación en prótesis fija.,,Odontología,,,
PROCEDIMIENTOS EN REHABILITACIÓN SOBRE IMPLANTES.,,Odontología,,,
