nombre,tipo,sku,codigo_barras,descripcion,stock_actual,stock_minimo,costo_unitario,sala,categoria
Tubos lila vacíos,insumo,,,Cant. por taller: 20.0 | Semana: 2- 7 a la 11,20.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Dinamo,implemento,,,Cant. por semestre: 1.0 | Semana: 2- 12 a la 16,1.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Tubos lila con sangre simulada,insumo,,,Cant. por taller: 10.0 | Semana: 2- 7 a la 11,10.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Aparato de toma de presión sanguínea,implemento,,,Cant. por semestre: 4.0 | Semana: 2- 12 a la 16,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
capilares de heparina,insumo,,,Cant. por taller: 4 frascos | Semana: 2 - 12 a la 16,4 frascos,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Fuente de luz,implemento,,,Cant. por semestre: 4.0 | Semana: todas ,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
gradillas plásticas,insumo,,,Cant. por taller: 5.0 | Semana: 2.0,5.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Rotador RPR,implemento,,,Cant. por semestre: 2.0 | Semana: 2.0,2.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
varillas de agitación,insumo,,,Cant. por taller: 80.0 | Semana: 2- 12 a la 16,80.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Centrifugas,implemento,,,Cant. por semestre: 4.0 | Semana: 2.0,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
"Antisueros A, B, AB y D  (Rh)",insumo,,,Cant. por taller: 20 en total | Semana: 2-  7 a la 17,20 en total,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Baño termoregulador,implemento,,,Cant. por semestre: 1.0 | Semana: 12 a la 16,1.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Lámina de vidrio,insumo,,,Cant. por taller: 5.0 | Semana: 2.0,5.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Agitador de plaquetas,implemento,,,Cant. por semestre: 3.0 | Semana: 12 a la 16,3.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Lancetas acuchek,insumo,,,Cant. por taller: 30.0 | Semana: 2- 12 a la 16,30.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Fantomas de brazo adulto conectados a sangre simulada,implemento,,,Cant. por semestre: 4.0 | Semana: 12 a la 16,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Parche curita circulo,insumo,,,Cant. por taller: 30.0 | Semana: 2.0,30.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Mesas de punción,implemento,,,Cant. por semestre: 4.0 | Semana: 12 a la 16,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Alcohol 70°,insumo,,,Cant. por taller: 3 botellas chicas | Semana: Todas,3 botellas chicas,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
FANTOMA MANO,implemento,,,Cant. por semestre: 5.0 | Semana: 2 a la 16,5.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Torulas de algodón,insumo,,,Cant. por taller: 1 bolsa | Semana: Todas ,1 bolsa,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Alcohol pad,insumo,,,Cant. por taller: 30.0 | Semana: 2- 12 a 16,30.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
pecheras,insumo,,,Cant. por taller: 12.0 | Semana: Todas,12.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
mascarillas,insumo,,,Cant. por taller: 1 caja | Semana: Todas,1 caja,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
"Guantes S, M, L",insumo,,,Cant. por taller: 1 caja c/u | Semana: Todas,1 caja c/u,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Contenedor cortopunzante,insumo,,,Cant. por taller: 4.0 | Semana: Todas,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
contenedor desecho biológico,insumo,,,Cant. por taller: 4.0 | Semana: Todas,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Alcohol 96°,insumo,,,Cant. por taller: 3.0 | Semana: Todas ,3.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Tubos rojos nuevos,insumo,,,"Cant. por taller: 10.0 | Semana: 2,3, 4,5,6",10.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Tubos amarillo nuevos,insumo,,,"Cant. por taller: 10.0 | Semana: 2,3, 4,5,6",10.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Micropipetas p100,insumo,,,"Cant. por taller: 4.0 | Semana: 2,3, 4,5,6",4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Micropipetas p200,insumo,,,"Cant. por taller: 4.0 | Semana: 2,3, 4,5,6",4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Micropipetas p1000,insumo,,,"Cant. por taller: 4.0 | Semana: 2,3, 4,5,6",4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
gradillas plásticas,insumo,,,Cant. por taller: 10.0 | Semana: 7 a la 11,10.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
contenedor rojo,insumo,,,Cant. por taller: 4.0 | Semana: Todas ,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Pipetas pasteur,insumo,,,Cant. por taller: 100.0 | Semana: 7 a la 11,100.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
puntas amarillas,insumo,,,"Cant. por taller: 100 en caja  | Semana: 2,3, 4,5,6",100 en caja ,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
puntas azules,insumo,,,"Cant. por taller: 100 en caja  | Semana: 2,3, 4,5,6",100 en caja ,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
tubos khan de vidrio,insumo,,,Cant. por taller: 150.0 | Semana: 7 a la 11,150.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
cronómetros,insumo,,,Cant. por taller: 5.0 | Semana: TODAS ,5.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Kit RPR,insumo,,,"Cant. por taller: 3.0 | Semana: 2,3, 4,5,6",3.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
HOJA REGISTRO,insumo,,,"Cant. por taller: DOCENTE | Semana: 2,3, 4,5,6",DOCENTE,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Pisetas con agua destilada,insumo,,,Cant. por taller: 4.0 | Semana: 7 a la 11,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Matraz aforado 1000 ml,insumo,,,Cant. por taller: 1.0 | Semana: 7 a la 11,1.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
PBS en tabletas,insumo,,,Cant. por taller: 1.0 | Semana: 7 a la 11,6.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Pisetas con suero fisiológico,insumo,,,Cant. por taller: 4.0 | Semana: 7 a la 11,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Pisetas vacias,insumo,,,Cant. por taller: 4.0 | Semana: 7 a la 11,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Contenedor con detergente enzimático,insumo,,,Cant. por taller: 1.0 | Semana: TODAS,1.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Agua destilada,insumo,,,Cant. por taller:  | Semana: 7 a la 11,5 LT,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Parafilm,insumo,,,Cant. por taller: 1 rollo | Semana: TODAS,1 rollo,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Glóbulos rojos  testigos A1 y B,insumo,,,Cant. por taller: 1 de c/u | Semana: 7 a la 11,1 de c/u,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
REGISTROS GRUPO SANGUÍNEO,insumo,,,Cant. por taller: DOCENTE | Semana: 7 a la 11,DOCENTE,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Contenedor con solución clorada,insumo,,,Cant. por taller: 1.0 | Semana: TODAS,1.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Bránula 22G,insumo,,,Cant. por taller: 15.0 | Semana: 12 a la 16,15.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Cinta transpore o microspore,insumo,,,Cant. por taller: 4.0 | Semana: 12 a la 16,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Bolsas transparentes,insumo,,,Cant. por taller: 10.0 | Semana: 12 a la 16,10.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Infusores o bajadas de suero,insumo,,,Cant. por taller: 10.0 | Semana: 12 a la 16,10.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Porta suero,insumo,,,Cant. por taller: 4.0 | Semana: 12 a la 16,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
"Unidades de Glóbulos rojos, plasma, plaquetas simulados",insumo,,,Cant. por taller: 10 c/u | Semana: 12 a la 16,10 c/u,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Tiras de Ph metro,insumo,,,Cant. por taller:  | Semana: 12 a la 16,,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Tijeras,insumo,,,Cant. por taller: 2.0 | Semana: 12 a la 16,2.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Cooler,insumo,,,Cant. por taller: 4.0 | Semana: 12 a la 16,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Liga,insumo,,,Cant. por taller: 5.0 | Semana: 12 a 16,5.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Solicitud de transfusión,insumo,,,Cant. por taller:  | Semana: 12 a la 16,1 talonario,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Bránula 16G,insumo,,,Cant. por taller: 15.0 | Semana: 12 a la 16,15.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Riñon,insumo,,,Cant. por taller: 4.0 | Semana: 12 a la 16,4.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
TODOS LOS INSUMOS,insumo,,,Cant. por taller:  | Semana: SEMANA 17 ,,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
cinta para rotular,insumo,,,Cant. por taller:  | Semana: TODAS,1.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Pizarra,insumo,,,Cant. por taller:  | Semana: TODAS,1.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
pinza kelly,insumo,,,Cant. por taller:  | Semana: TODAS,5.0,,,Banco de Sangre (SB-013),TÉCNICAS DE BANCO DE SANGRE
Timer,insumo,,,Cant. por taller: 6.0 | Semana: Todas,6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Cámara extractora de gases,implemento,,,Cant. por semestre: 2.0 | Semana: TODAS,2.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
mascarillas,insumo,,,Cant. por taller: 1 caja | Semana: Todas,1 caja,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Centrifuga,implemento,,,Cant. por semestre: 4.0 | Semana: 2 a la 6,4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
"Guantes S, M, L",insumo,,,Cant. por taller: 1 caja c/u | Semana: Todas,1 caja c/u,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Microscopios ópticos,implemento,,,Cant. por semestre: 7.0 | Semana: TODAS,7.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Contenedor cortopunzante,insumo,,,Cant. por taller: 4.0 | Semana: Todas,4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Estufa de medio de cultivo,implemento,,,Cant. por semestre: 2.0 | Semana: 9 a 17,2.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
contenedor desecho biológico,insumo,,,Cant. por taller: 4.0 | Semana: Todas,4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Equipo Macfarland,implemento,,,Cant. por semestre: 2.0 | Semana: 9 a 17,2.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
