nombre,tipo,sku,codigo_barras,descripcion,stock_actual,stock_minimo,costo_unitario,sala,categoria
Contenedor con detergente enzimático,insumo,,,Cant. por taller: 1.0 | Semana: Todas,1.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Contenedor solución clorada,insumo,,,Cant. por taller: 1.0 | Semana: Todas ,1.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Masking,insumo,,,Cant. por taller: 1.0 | Semana: Todas ,1.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
contenedor rojo,insumo,,,Cant. por taller: 4.0 | Semana: Todas ,4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Set de muestras parasitológicas con muestra de deposición simulada,insumo,,,Cant. por taller: 20.0 | Semana: 2 a la 6,20.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Formol-sal en pisetas,insumo,,,Cant. por taller: 5.0 | Semana: 2 a la 6,5.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
portaobjetos,insumo,,,Cant. por taller: 2 cajas | Semana: 2 a la 6,2 cajas,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Palos de helado,insumo,,,Cant. por taller: 50.0 | Semana: 2 a la 6,50.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Mascarillas KN95,insumo,,,Cant. por taller: 12.0 | Semana: 2 a la 6,12.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Tubos cónicos con tapa,insumo,,,Cant. por taller: 50.0 | Semana: 2 a la 6,50.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Parafilm,insumo,,,Cant. por taller: 1 rollo | Semana: 2 a la 6,1 rollo,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Cubreobjetos,insumo,,,Cant. por taller: 2 cajas  | Semana: 2 a la 6,2 cajas ,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Vasos precipitado 50 ml,insumo,,,Cant. por taller: 6.0 | Semana: 2 a la 6,6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Pecheras manga completa,insumo,,,Cant. por taller: 12.0 | Semana: 2 a la 6,12.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Propipetas,insumo,,,Cant. por taller: 5.0 | Semana: 2 a la 6,5.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Pipetas pasteur,insumo,,,Cant. por taller: 60.0 | Semana: 2 a la 6,60.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Frasco de éter,insumo,,,Cant. por taller: 2.0 | Semana: 2 a la 6,2.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Coladores (o rejillas),insumo,,,Cant. por taller: 12.0 | Semana: 2 a la 6,12.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Vasos precipitado 100 ml,insumo,,,Cant. por taller: 6.0 | Semana: 2 a la 6,6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Pipetas serológicas 10 ml,insumo,,,Cant. por taller: 10.0 | Semana: 2 a la 6,10.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
caja plastica transparente,insumo,,,Cant. por taller: 1.0 | Semana: 2 a la 6,1.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
baguetas,insumo,,,Cant. por taller: 2.0 | Semana: 2 a la 6,2.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
pisetas con agua destilada,insumo,,,Cant. por taller: 4.0 | Semana: 2 a la 6,4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Kit test rápido hemoglobina humana en deposición,insumo,,,Cant. por taller: 1.0 | Semana: 2 a la 6,1.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Kit hemorragias ocultas,insumo,,,Cant. por taller: 20.0 | Semana: 2 a la 6,20.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Reactivo de benedict,insumo,,,Cant. por taller: 1 frasco  | Semana: 2 a la 6,1 frasco ,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
"Micropipetas p10, p100, p200 y p1000",insumo,,,Cant. por taller: 3 de cada una | Semana: 2 a la 6,3 de cada una,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Mecheros bunsen,insumo,,,Cant. por taller: 5.0 | Semana: 2 a la 6,5.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Trípodes,insumo,,,Cant. por taller: 5.0 | Semana: 2 a la 6,5.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Frascos tapa roja con cuchara con deposición simulada,insumo,,,Cant. por taller: 12.0 | Semana: 2 a la 6,12.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Kit rotavirus y adenovirus,insumo,,,Cant. por taller: 1 kit | Semana: 2 a la 6,1 kit,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Indicador de pH,insumo,,,Cant. por taller: 1 cinta  | Semana: 2 a la 6,1 cinta ,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Tubos de ensayo,insumo,,,Cant. por taller: 20.0 | Semana: 2 a la 6,20.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Puntas amarillas y azules,insumo,,,Cant. por taller: 1 caja de c/u | Semana: 2 a la 6,1 caja de c/u,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Ordenes de examen,insumo,,,Cant. por taller: 30.0 | Semana: 2 a la 6,30.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Azul de metileno,insumo,,,Cant. por taller: 3.0 | Semana: 2 a la 6,3.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Agua destilada,insumo,,,Cant. por taller: 1 lt | Semana: 2 a la 6,1 lt,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Gradillas plásticas,insumo,,,Cant. por taller: 7.0 | Semana: 2 a la 6,7.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Asas de siembra en círculo.,insumo,,,"Cant. por taller: 6.0 | Semana: 7,8,10 y 11",6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Mechero bunsen,insumo,,,"Cant. por taller: 5.0 | Semana: 7,8,10 y 11",5.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Set de tinción de Gram,insumo,,,"Cant. por taller: 4.0 | Semana: 7,8,10 y 11",4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Varillas para soporte,insumo,,,"Cant. por taller: 4.0 | Semana: 7,8,10 y 11",4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Placas Petri plásticas,insumo,,,"Cant. por taller: 60.0 | Semana: 7,8,10 y 11",60.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Hisopos estériles,insumo,,,"Cant. por taller: 30.0 | Semana: 7,8,10 y 11",30.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Pisetas con agua destilada,insumo,,,"Cant. por taller: 4.0 | Semana: 7,8,10 y 11",4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Rejillas de asbesto,insumo,,,"Cant. por taller: 4.0 | Semana: 7,8,10 y 11",4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
"Frascos de orina con muestra simulada, distintos volúmenes y color.",insumo,,,"Cant. por taller: 10.0 | Semana: 7,8,10 y 11",10.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Set de Tinción Ziehl Nelseen,insumo,,,"Cant. por taller: 4.0 | Semana: 7,8,10 y 11",4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Cubetas PARA TINCIÓN DE GRAM,insumo,,,"Cant. por taller: 4.0 | Semana: 7,8,10 y 11",4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Porta objetos,insumo,,,"Cant. por taller:  1 caja | Semana: 7,8,10 y 11", 1 caja,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Frascos negros con muestra de expectoración simulada,insumo,,,"Cant. por taller: 12.0 | Semana: 7,8,10 y 11",12.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Platillos de aluminio,insumo,,,"Cant. por taller: 6.0 | Semana: 7,8,10 y 11",6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Agua destilada,insumo,,,"Cant. por taller: 5 lt | Semana: 7,8,10 y 11",5 lt,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Pinzas de madera,insumo,,,"Cant. por taller: 5.0 | Semana: 7,8,10 y 11",5.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Espátulas,insumo,,,"Cant. por taller: 4.0 | Semana: 7,8,10 y 11",4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Reactivo de agar Mac Conkey,insumo,,,"Cant. por taller: 1.0 | Semana: 7,8,10 y 11",1.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Chispero,insumo,,,Cant. por taller: 4.0 | Semana: TODAS,4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
bisturí,insumo,,,"Cant. por taller: 2.0 | Semana: 7,8,10 y 11",2.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Gradillas plásticas para tubos cónicos,insumo,,,"Cant. por taller: 4.0 | Semana: 7,8,10 y 11",4.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Matraz Erlenmeyer 250 ml,insumo,,,"Cant. por taller: 2.0 | Semana: 7,8,10 y 11",2.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Reactivo agar Mueller Hinton,insumo,,,"Cant. por taller: 1.0 | Semana: 7,8,10 y 11",1.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Asas en punta,insumo,,,"Cant. por taller: 6.0 | Semana: 7,8,10 y 11",6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Trípodes,insumo,,,"Cant. por taller: 3.0 | Semana: 7,8,10 y 11",3.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Alcohol al 70° y 96°,insumo,,,Cant. por taller: 3 de cada uno | Semana: TODAS ,3 de cada uno,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Asas de siembra en círculo.,insumo,,,"Cant. por taller: 6.0 | Semana: 9,10 y 11",6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Mechero bunsen,insumo,,,"Cant. por taller: 6.0 | Semana: 9,10 y 11",6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Suero fisiológico 10 ml,insumo,,,"Cant. por taller: 10.0 | Semana: 9,10 y 11",10.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Asas en punta,insumo,,,"Cant. por taller: 6.0 | Semana: 9,10 y 11",6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Torulas o hisopos estériles.,insumo,,,"Cant. por taller: 40.0 | Semana: 9,10 y 11",40.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
"Baterías bioquímicas TSI, LIA, MIO, UREA Y CITRATO.",insumo,,,"Cant. por taller: 10 de c/u | Semana: 9,10 y 11",10 de c/u,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Placas agar Mueller Hinton,insumo,,,"Cant. por taller: 20.0 | Semana: 9,10 y 11",20.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Antibióticos o sensidiscos Gram (-),insumo,,,"Cant. por taller: 20.0 | Semana: 9,10 y 11",20.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Antibióticos o sensidiscos Gram (+),insumo,,,"Cant. por taller: 20.0 | Semana: 9,10 y 11",20.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Pinzas metálicas,insumo,,,"Cant. por taller: 5.0 | Semana: 9,10 y 11",5.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Tubos khan,insumo,,,"Cant. por taller: 20.0 | Semana: 9,10 y 11",20.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
bisturí,insumo,,,"Cant. por taller: 2.0 | Semana: 9,10 y 11",2.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Gradillas plásticas,insumo,,,"Cant. por taller: 7.0 | Semana: 9,10 y 11",7.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Asas de siembra en círculo.,insumo,,,Cant. por taller: 6.0 | Semana: 12 a la 16 ,6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Mechero bunsen,insumo,,,Cant. por taller: 6.0 | Semana: 12 a la 16 ,6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Medios de transporte Cary blair,insumo,,,Cant. por taller: 10.0 | Semana: 12 a la 16 ,10.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Asas en punta,insumo,,,Cant. por taller: 6.0 | Semana: 12 a la 16 ,6.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Alcohol pad,insumo,,,Cant. por taller: 20.0 | Semana: 12 a la 16 ,20.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Frascos tapa roja estéril,insumo,,,Cant. por taller: 12.0 | Semana: 12 a la 16 ,12.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
"Frascos de orina con muestra simulada, distintos volúmenes y color.",insumo,,,Cant. por taller: 12.0 | Semana: 12 a la 16 ,12.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Medio de transporte Stuart,insumo,,,Cant. por taller: 12.0 | Semana: 12 a la 16 ,12.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Frascos hemocultivos,insumo,,,Cant. por taller: 7.0 | Semana: 12 a la 16 ,7.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Jeringas 5ml,insumo,,,Cant. por taller: 10.0 | Semana: 12 a la 16 ,10.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Torulas de algodón,insumo,,,Cant. por taller: 1 bolsa | Semana: 12 a la 16 ,1 bolsa,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
Punta de catéter,insumo,,,Cant. por taller: 5.0 | Semana: 12 a la 16 ,5.0,,,Banco de Sangre (SB-012),Microbiología para laboratorio clínico
